code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
ARG,Argentina,1,CABRERA,Julián Máximo,M,7,7,7,0,4,25,Gold
ARG,Argentina,2,ZIGER,Bruno Martín,M,7,7,7,0,1,22,Silver
ARG,Argentina,3,RAIMUNDEZ,Matías Ezequiel,M,7,7,0,0,0,14,Bronze
ARG,Argentina,4,RUIZ DÍAZ,Lorenzo,M,7,5,0,0,0,12,Bronze
ARG,Argentina,5,MOZZATTI,Francesco,M,7,0,0,0,1,8,Hon. Men.
ARG,Argentina,6,NAGUIL,Ignacio Javier,M,7,0,0,0,0,7,Hon. Men.
ARG,Argentina,7,KLIR,Felipe Bautista,M,7,0,0,0,0,7,Hon. Men.
ARG,Argentina,8,BOTTAZZI,Franco,M,7,0,0,0,0,7,Hon. Men.
ARG,Argentina,9,SANDLERIS,Lucas,M,7,0,0,0,0,7,Hon. Men.
ARG,Argentina,10,CIRELLI,Francisco,M,7,0,0,0,0,7,Hon. Men.
AUS,Australia,1,Buritica,Andres,M,7,3,7,5,0,22,Gold
AUS,Australia,2,Tang,Hadyn,M,7,7,0,7,0,21,Silver
AUS,Australia,3,Cheah,William,M,7,7,0,0,0,14,Bronze
AUS,Australia,4,Chen,Xiaoyu,M,7,0,6,0,0,13,Bronze
AUS,Australia,5,Chi,Jason,M,5,5,0,0,0,10,Bronze
AUS,Australia,6,Zhang,Zirui (Harry),M,7,2,0,0,0,9,Hon. Men.
AUS,Australia,7,Wu,Yuzheng (Tony),M,1,7,0,0,0,8,Hon. Men.
AUS,Australia,8,Xu,Cloris,F,7,0,1,0,0,8,Hon. Men.
AUS,Australia,9,Zhou,Chenxiao (Kevin),M,7,1,0,0,0,8,Hon. Men.
AUS,Australia,10,Wang,Haibing,M,7,1,0,0,0,8,Hon. Men.
BGD,Bangladesh,1,Rubab,Md. Maruf Hasan,M,7,6,7,0,0,20,Gold
BGD,Bangladesh,2,Disha,Nujhat Ahmed,F,7,0,7,0,0,14,Bronze
BGD,Bangladesh,3,Sadik,Adnan,M,7,5,0,0,0,12,Bronze
BGD,Bangladesh,4,Hasan,Dewan Saadman,M,7,0,0,2,0,9,Hon. Men.
BGD,Bangladesh,5,Zahin,Thamim Nur,M,7,0,0,0,0,7,Hon. Men.
BGD,Bangladesh,6,Alam,Md. Fuad Al,M,7,0,0,0,0,7,Hon. Men.
BGD,Bangladesh,7,Chowdhury,Muttakin Ahmed,M,7,0,0,0,0,7,Hon. Men.
BGD,Bangladesh,8,Adib,Fahim Faiaz,M,7,0,0,0,0,7,Hon. Men.
